Rafael Robayo,1,2000-2002, Escuela de Fútbol Vida (No Wikipedia link)
Andreas Ivanschitz,1,1998-2000, Rapid Wien (Not a college)
Kiki Willis,1
Eric Avila,8,2005-2007, UC Santa Barbara Gauchos (College)
Diego Sonora,5
Mauro Rosales,5
Lamar Neagle,6,2005-2008, UNLV Rebels (College)
Anthony Peters,1,2007-2008, West Virginia Wesleyan Bobcats (College)
Paul Keegan,5
Brandon Ward,1,1991-1994, Indiana University (College)
Luke Moore,2,000?-2003, 000 (No Wikipedia link)
Lucas Melano,1,, Belgrano (Not a college)
Adam Bedell,2,2010-2013, Detroit Titans (College)
Steven Emory,2,2007-2010, Metro State Roadrunners (College)
Eddie Pope,12,1992-1995, North Carolina Tar Heels (College)
Juan Suarez,1
Andre Moreira,3
Marco Velez,2,1999-2001, Barry Buccaneers (College)
Michael Umana,3
Rafael Ramos,1
Charlie Rugg,3,2009-2012, Boston College Eagles (College)
Mike Reidy,1,2009-2012, Colgate Raiders (College)
Guly do Prado,1
Emmanuel Gomez,2,2004-2007, Samger (Not a college)
Matt Polster,1,2011-2014, SIU Edwardsville Cougars (College)
Nemanja Vukovic,1,2001-2003, Drezga (Not a college)
Camilo Sanvezzo,3
Patrick Carroll,1
Michael Zaher,2
Vincent Nogueira,2
John Harkes,7,1985-1987, Virginia Cavaliers (College)
Steve Trittschuh,6,1983-1986, Southern Illinois University Edwardsville (College)
Jefferson Mena,1
Johnny Torres,5,1994-1998, Creighton University (College)
Tyler Hemming,2,2003-2006, Hartwick Hawks (College)
Alberto Montoya,1,1996, Santa Clara (College)
Omar Bravo,1
Leonel Miranda,1
Aaron Kovar,2,2012-2013, Stanford Cardinal (College)
Ignacio Maganto,1,2011-2014, Iona Gaels (College)
Andreas Maier,1,1990-1994, Rutgers Scarlet Knights (College)
Jarrod Smith,1,2003-2006, West Virginia Mountaineers (College)
Luciano Emilio,4,1996-1997, Rio Branco-SP (Not a college)
Norberto Paparatto,2
Paul Bravo,6,1988-1989, Santa Clara University (College)
Ben Crawley,1,1989-1992, Virginia Cavaliers (College)
Javier Calle,1,-2009, San Fernando de Guayabal la Raya (No Wikipedia link)
Agustin Pelletieri,1
Adrian Rodriguez,3
Diego Fagundez,5,2009-2010, New England Revolution (Not a college)
Chiquinho Conde,1
Bobby Warshaw,3,2007-2010, Stanford Cardinal (Not a college)
Reed Matte,1
Frank Lampard,1,1994-1995, West Ham United (Not a college)
Romain Gall,2,2011-2014, Lorient (Not a college)
Ryan Cordeiro,1,2004-2007, Connecticut Huskies (College)
Luis Garrido,2,, Juticalpa (Not a college)
Gilberto Souza,2
Cornell Glen,5
Matt Kmosko,4,1990-1994, Hartwick College (College)
Jean Harbor,1,1983-1986, Alabama A&M (College)
Jaime Alas,1,2006-2009, River Plate (Not a college)
Robert Earnshaw,3,1997-1998, Cardiff City (Not a college)
Peter Lowry,4,2004-2007, Santa Clara Broncos (College)
Marco Bustos,1,2011-2014, Whitecaps FC Residency (Not a college)
Robbie Findley,7,2003-2006, Oregon State Beavers (College)
Abu Tommy,1
Rodrigo Faria,3,1999, Concordia College (New York) (College)
Jamel Mitchell,1,1993-1996, Sacramento State University (College)
Conor Doyle,3,2010, Creighton Bluejays (College)
Rene Corona,1,2003-2004, Santa Ana Dons (College)
Corey Hertzog,3,2008-2010, Penn State Nittany Lions (College)
Ezequiel Cirigliano,1,, River Plate (Not a college)
Andy Thoma,1,2011-2014, Washington Huskies (College)
Liam Ridgewell,2,2001-2002, Aston Villa (Not a college)
Washington Rodriguez,1
Greg Jordan,2,2008-2011, Creighton Bluejays (College)
Saer Sene,3
Rohan Ricketts,2,2000-2001, Arsenal (Not a college)
Gaston Sauro,1
Bryan Arguez,2,2006, IMG Soccer Academy (Not a college)
Jerrod Laventure,2,2001-2004, Seton Hall Pirates (College)
Andrew Driver,2,, Heart of Midlothian (Not a college)
Walker Zimmerman,3,2011-2012, Furman Paladins (College)
