Player,mlsYears,youthYears,youthTeam,ntlCaps
Marco Bustos,1,2011-2014, Whitecaps FC Residency (Not a college),16
Bakary Soumare,7,2005-2006, Virginia Cavaliers (College),12
Sumed Ibrahim,1,1999-2004, Maryland Terrapins (College),0
Andreas Herzog,1
Matias Cordoba,1,, Argentinos Juniors (Not a college),0
Marcos Mondaini,1,2002-2004, Boca Juniors  (Not a college),0
Andrew Gregor,2,1994-1997, Portland Pilots (College),0
Steven Beitashour,6,2005-2009, San Diego State Aztecs (College),6
Hernan Bernardello,2
Ryan Hollingshead,3,2009-2012, UCLA Bruins (College),0
Eric Brunner,7,2005-2007, Ohio State Buckeyes (College),2
David Carney,1,1999-2002, Everton (Not a college),50
John Harkes,7,1985-1987, Virginia Cavaliers (College),90
Djimi Traore,2
Johnny Garcia,1,2000-2001, Tapatio (No Wikipedia link),0
Jordi Quintilla,1
Dairon Asprilla,1
Chris Pontius,7
Fabio da Silva,1
Maxwell Griffin,1,2006-2009, UCLA Bruins (College),0
Luke Moore,2,000?-2003, 000 (No Wikipedia link),5
Marlon Hairston,2,2012-2013, Louisville Cardinals (College),1
Chad Prince,1,1997-2000, Virginia Cavaliers (College),0
Sunil Chhetri,1,2001-2002, City FC (No Wikipedia link),4116
Daryl Powell,2
Leonardo Gonzalez,7
Lance Watson,4,2002-2005, New Mexico Lobos (College),0
Byron Alvarez,1
Anthony Peters,1,2007-2008, West Virginia Wesleyan Bobcats (College),0
Joseph Nane,3,2006-2009, Old Dominion Monarchs (College),0
Antonio de la Torre,1
David Mateos,1,2001-2002, → Santa Ana (loan) (Not a college),4
Cesar Romero,1
Chris Mannella,2,2009-2014, TFC Academy (Not a college),10
Christian Wilhelmsson,1,1988-1997, Mjällby (Not a college),95
Justin Detter,2
Mark Wilson,2
Francisco Lima,1
O'Brian White,4,2005-2008, Connecticut Huskies (College),22
Daniel Szetela,5,2002-2004, IMG Soccer Academy (Not a college),18
Brett Rodriguez,1
Johan Venegas,1
 Michel,3
John Gallagher,1
Hollis Donaldson,1
Hugh Dixon,3
Peterson Joseph,4
Andres Murriagui,1
Greg Cochrane,3,2011-2012, Louisville Cardinals (College),0
Jordan Stone,3,1999-2001, IMG Soccer Academy (Not a college),4
Shaun Bartlett,2,, Vasco Da Gama (Not a college),74
Collin Fernandez,1,2011-2015, Chicago Fire (Not a college),12
Andy Rose,4,2008-2011, UCLA Bruins (College),0
Brandon Barklage,7,2007-2008, St. Louis Billikens (College),0
Christian Tiffert,2,1998-2000, Tennis Borussia Berlin (Not a college),28
Rene Ortiz,1
Peter Luccin,2,, Cannes (Not a college),5
Brandon McDonald,6
Julian Nash,3,2001-04, Creighton Bluejays (College),0
Aaron Lanes,2
Dominic Schell,1,1996-1999, University of Mobile (College),0
Chris Henderson,11,1989-1990, UCLA (College),79
Brian Carroll,13,2000-2002, Wake Forest Demon Deacons (College),11
Ely Allen,2,2004-2007, Washington Huskies (College),5
Erik Hort,1,, Sparta Prague (Not a college),3
Harry Shipp,2,2010-2013, Notre Dame Fighting Irish (College),0
Tranquillo Barnetta,1,1996-2002, St. Gallen (Not a college),77
Hector Cuadros,1
Anthony Farras,1
Ignacio Piatti,2,2000, Club Mitre de General Baldissera (No Wikipedia link),0
Mark Linnville,1
Kofi Opare,3,2009-2012, Michigan Wolverines (College),0
Fatai Alashe,1,2011-2014, Michigan State Spartans (College),11
Kellen Gulley,2,2011-2012, Chicago Fire (Not a college),9
Eric Gehrig,5,2006-2009, Loyola University Chicago (College),0
Gianluca Zavarise,1,2004-2005, Vancouver Olympics (No Wikipedia link),1
Daniele Dichio,3,1991-1993, Queens Park Rangers (Not a college),1
Martin Morales,1
Zoltan Hercegfalvi,2,1985-1998, Budapest Honvéd (Not a college),3
Carlos Costly,1
Clifton Wilmes,1
Mark Lisi,6,1997-2000, Clemson Tigers (College),0
Francisco Gomez,8
Steve Shak,3,1996-1999, UCLA Bruins (College),0
Joey Thieman,1,1990-1994, Princeton (College),0
Marco Lemes,1
Christian Dean,2,2011-2013, California Golden Bears (College),4
Josue Soto,3,2009-2010, SMU Mustangs (College),0
Carlos Ruiz,9
Jay Heaps,11,1995-1998, Duke Blue Devils (College),4
Colin Rolfe,1,2008-2011, Louisville Cardinals (College),0
Hendry Thomas,3,, Olimpia Reservas (Not a college),59
Tommy Meyer,4,2008-2011, Indiana Hoosiers (College),14
Oscar Echeverry,2,, Deportivo Cali (Not a college),0
Peter Hattrup,1,1982-1983, 1985,3
Denis Hamlett,1,1989-1991, George Mason Patriots (College),0
Joselito Vaca,4,1994-1998, Tahuichi Academy (No Wikipedia link),2070
Juan Mendoza,5
Giovanni Savarese,5,1990-1993, Long Island University (College),30
Thomas Thompson,7
Chris Loftus,1,2003-2006, Duke (College),0
Peter Canero,1
David Texeira,2,, Defensor Sporting (Not a college),6
Abdus Ibrahim,4,2006-2007, IMG Soccer Academy (Not a college),62
Adam Johansson,2,0000-2000, 0000 (No Wikipedia link),31
Giovani Casillas,1,2010-2011, Guadalajara (Not a college),7
Marko Perovic,2
Chris Hegngi,1
 Leonardo,6
Todd Yeagley,7,1991-1994, Indiana University (College),0
Marcos Sanchez,1
Felipe Rodriguez,1
Guilherme So,1,1997-2005, Internacional (Not a college),0
Matt Kassel,2,2008-2010, Maryland Terrapins (College),3
Pablo Vitti,1,, Rosario Central (Not a college),3
Jafet Soto,1
Andrew Sousa,1,2008-2010, Providence Friars (College),0
Daniel Dobson,1
Emilio Orozco,1,2010-2012, Tigres (Not a college),12
Will John,3,2003-2004, Saint Louis University (College),0
Jamal Sutton,2,2000-2003, Missouri State Bears (College),0
Juan Sastoque,2,1995, Cal State Northridge (College),0
Eddie Pope,12,1992-1995, North Carolina Tar Heels (College),82
Yuri Lavrinenko,1,1996-1999, Indiana Hoosiers (College),0
Rob Lovejoy,1,2010-2014, North Carolina Tar Heels (College),0
Deybi Flores,1
Hunter Freeman,6,2002-2004, Virginia Cavaliers (College),24
Robert Burling,9
Harut Karapetyan,5
Matt Groenwald,2,2001-2005, St. John's Red Storm (College),0
Pablo Ricchetti,3
Gonzalo Peralta,1
Miguel Guante,1,2002-2005, Portland Pilots (College),0
Jozy Altidore,4,2004-2006, IMG Soccer Academy (Not a college),2107
Tony Frias,3
Alex Martinez,1
Ignacio Maganto,1,2011-2014, Iona Gaels (College),0
Sam Garza,3,2010-2011, UC Santa Barbara Gauchos (College),7
Kiki Willis,1
Vincent Nogueira,2
Cristian Higuita,1,, Deportivo Cali (Not a college),1
Michael Clark,8
Alec Purdie,1,2007-2011, Indiana Hoosiers (College),0
Stefani Miglioranzi,6,1995-1998, St. John's Red Storm (College),0
Neven Markovic,1
Rivers Guthrie,2,1991-1994, Clemson Tigers (College),0
Michael Videira,5,2005-2008, Duke Blue Devils (College),16
Miguel Montano,3,2008, Envigado (Not a college),1
Lyle Martin,1,2004-2006, Bakersfield Roadrunners (College),0
Janusz Michallik,3
Andres Correa,1
Ken Hesse,1,1990-1993, Cal State Fullerton (College),0
Rodrigo Lopez,4
Robbie Rogers,8,2005, Maryland Terrapins (College),2049
Eric Stevenson,1
Kevin Alston,7,2006-2008, Indiana Hoosiers (College),20
Cristian Fernandez,1
Gorka Larrea,1,1999-2002, Real Sociedad (Not a college),15
Joey Martinez,3
Gabriel Badilla,2,, Saprissa (Not a college),29
Yamith Cuesta,3
Kevin Doyle,1,2002, St Patrick's Athletic (Not a college),72
Luis Tejada,1
Corben Bone,5,2007-2009, Wake Forest Demon Deacons (College),10
Pablo Brenes,1
Tenywa Bonseu,5,1997-1998, Martin Methodist Red Hawks (College),0
Erik Ustruck,3,2003-2006, Santa Clara Broncos (College),4
Johann Smith,2,, Bolton Wanderers (Not a college),5
Adolfo Bautista,1
Aaron Hohlbein,4,2003-2006, Wisconsin Badgers (College),0
Altimont Butler,2
Abu Tommy,1
David Nakhid,1,1985-1987, American University (College),35
Erick da Cruz,1
James Twellman,1
Jose Burciaga,8
Ramon Nunez,5,2003, SMU Mustangs (College),66
